60,50,50,2353,95,456
60,50,50,1760,82,216
60,50,50,2070,102,447
60,50,50,2180,104,486
60,50,50,2379,92,246
60,50,50,2432,102,236
60,50,50,2408,92,754
60,50,50,2591,90,373
60,50,50,2409,84,529
60,50,50,2450,93,234
360,50,50,2488,55,509
360,50,50,2394,56,415
360,50,50,2579,47,889
360,50,50,2382,53,664
360,50,50,2823,69,880
360,50,50,2446,51,854
360,50,50,2039,56,575
360,50,50,2234,55,603
360,50,50,2467,74,718
360,50,50,2619,57,560
720,50,50,2070,47,607
720,50,50,2303,55,655
720,50,50,2687,53,708
720,50,50,2496,47,1117
720,50,50,2129,51,721
720,50,50,2444,47,864
720,50,50,2311,50,568
720,50,50,2860,48,1207
720,50,50,2329,53,876
720,50,50,2640,50,1289
1440,50,50,2060,50,711
1440,50,50,2353,50,853
1440,50,50,2347,63,786
1440,50,50,2338,57,932
1440,50,50,2193,56,556
1440,50,50,2750,53,1205
1440,50,50,2268,49,979
1440,50,50,1814,49,759
1440,50,50,2612,49,983
1440,50,50,2158,44,1190
2880,50,50,2599,45,1279
2880,50,50,2349,51,892
2880,50,50,2272,61,776
2880,50,50,2533,48,900
2880,50,50,2869,56,1181
2880,50,50,2415,56,922
2880,50,50,2746,49,1019
2880,50,50,2222,43,1027
2880,50,50,2212,45,1116
2880,50,50,2531,57,986
60,100,50,2327,94,452
60,100,50,2390,79,823
60,100,50,2970,81,949
60,100,50,2555,82,807
60,100,50,2805,73,694
60,100,50,2169,77,471
60,100,50,2221,86,518
60,100,50,2269,75,599
60,100,50,2361,65,1034
60,100,50,2313,76,685
360,100,50,2323,42,1007
360,100,50,2406,43,805
360,100,50,2513,41,1117
360,100,50,2131,44,866
360,100,50,2884,42,1298
360,100,50,2458,40,1259
360,100,50,2130,45,853
360,100,50,2255,43,683
360,100,50,2393,42,1020
360,100,50,2586,37,1425
720,100,50,2215,34,1298
720,100,50,2270,35,871
720,100,50,2172,39,871
720,100,50,2672,32,1534
720,100,50,2377,35,1337
720,100,50,2689,39,1642
720,100,50,2566,37,1424
720,100,50,2404,37,1224
720,100,50,1770,40,788
720,100,50,2353,32,1233
1440,100,50,2569,33,1503
1440,100,50,2678,41,1560
1440,100,50,2125,38,1079
1440,100,50,2414,32,1263
1440,100,50,2820,41,1344
1440,100,50,2137,32,1161
1440,100,50,2199,37,1018
1440,100,50,2302,34,1253
1440,100,50,2162,37,919
1440,100,50,2339,39,1477
2880,100,50,2281,32,1427
2880,100,50,2345,29,1391
2880,100,50,2686,38,1375
2880,100,50,2711,35,1426
2880,100,50,2120,34,1009
2880,100,50,2779,39,1407
2880,100,50,2241,34,1322
2880,100,50,2086,36,997
2880,100,50,2256,39,1156
2880,100,50,2474,39,1315
60,250,50,2553,46,1626
60,250,50,2628,62,1519
60,250,50,2492,40,1347
60,250,50,2178,51,1311
60,250,50,2467,51,1504
60,250,50,2306,42,1492
60,250,50,2473,42,1453
