timeWeight,distanceWeight,directionWeight,n runs,n events,n correlated runs,n wrong correlations
0,0.25,0,50,2661,44,1055
0,0.25,0,100,5140,59,3456
0,0.25,0,1,60,1,0
0,0.25,0,5,346,4,35
0,0.25,0,10,525,8,104
0,0.25,0,20,788,16,194
0,0.25,0,50,2163,31,1260
0,0.25,0,100,4978,58,3149
0,0.25,0.25,1,50,1,0
0,0.25,0.25,5,175,5,0
0,0.25,0.25,10,461,9,117
0,0.25,0.25,20,1282,19,324
0,0.25,0.25,50,2608,41,1120
0,0.25,0.25,100,5603,62,3578
0,0.25,0.25,1,61,1,0
0,0.25,0.25,5,236,5,0
0,0.25,0.25,10,345,10,0
0,0.25,0.25,20,1241,15,442
0,0.25,0.25,50,2522,31,1232
0,0.25,0.25,100,5065,54,3410
0,0.25,0.25,1,12,1,0
0,0.25,0.25,5,139,5,0
0,0.25,0.25,10,695,10,164
0,0.25,0.25,20,711,17,209
0,0.25,0.25,50,2520,36,1139
0,0.25,0.25,100,4743,60,3295
0,0.25,0.25,1,48,1,0
0,0.25,0.25,5,384,5,27
0,0.25,0.25,10,867,11,191
0,0.25,0.25,20,931,20,224
0,0.25,0.25,50,2294,30,1301
0,0.25,0.25,100,4853,59,2901
0,0.25,0.25,1,13,1,0
0,0.25,0.25,5,177,4,25
0,0.25,0.25,10,547,13,23
0,0.25,0.25,20,860,16,189
0,0.25,0.25,50,2151,31,1009
0,0.25,0.25,100,4396,61,2731
0,0.25,0.5,1,79,1,0
0,0.25,0.5,5,189,4,30
0,0.25,0.5,10,368,11,0
0,0.25,0.5,20,832,18,416
0,0.25,0.5,50,2566,40,1281
0,0.25,0.5,100,4714,67,3197
0,0.25,0.5,1,16,1,0
0,0.25,0.5,5,254,6,0
0,0.25,0.5,10,578,11,112
0,0.25,0.5,20,995,17,292
0,0.25,0.5,50,2203,33,1171
0,0.25,0.5,100,5324,65,3347
0,0.25,0.5,1,158,1,0
0,0.25,0.5,5,385,5,2
0,0.25,0.5,10,535,11,120
0,0.25,0.5,20,734,14,323
0,0.25,0.5,50,2108,36,1013
0,0.25,0.5,100,4368,57,2827
0,0.25,0.5,1,59,2,0
0,0.25,0.5,5,158,5,0
0,0.25,0.5,10,552,11,2
0,0.25,0.5,20,1040,20,235
0,0.25,0.5,50,2516,32,1494
0,0.25,0.5,100,4612,60,3237
0,0.25,0.5,1,31,1,0
0,0.25,0.5,5,408,6,0
0,0.25,0.5,10,642,10,5
0,0.25,0.5,20,1165,18,488
0,0.25,0.5,50,2262,35,1064
0,0.25,0.5,100,4691,73,2707
0,0.25,0.75,1,12,1,0
0,0.25,0.75,5,318,4,13
0,0.25,0.75,10,500,11,92
0,0.25,0.75,20,1011,16,461
0,0.25,0.75,50,2461,44,1192
0,0.25,0.75,100,4366,58,2722
0,0.25,0.75,1,17,1,0
0,0.25,0.75,5,269,4,39
0,0.25,0.75,10,585,7,173
0,0.25,0.75,20,1214,20,443
0,0.25,0.75,50,2018,43,896
0,0.25,0.75,100,4658,63,2983
0,0.25,0.75,1,55,1,0
0,0.25,0.75,5,205,5,0
0,0.25,0.75,10,728,10,129
0,0.25,0.75,20,646,19,91
0,0.25,0.75,50,2659,36,1504
0,0.25,0.75,100,4733,62,3140
0,0.25,0.75,1,48,1,0
0,0.25,0.75,5,117,4,13
0,0.25,0.75,10,564,10,90
0,0.25,0.75,20,1189,25,482
0,0.25,0.75,50,2592,40,1141
0,0.25,0.75,100,4439,59,3084
0,0.25,0.75,1,24,1,0
0,0.25,0.75,5,169,5,50
0,0.25,0.75,10,544,11,85
0,0.25,0.75,20,857,18,107
0,0.25,0.75,50,2135,37,821
